url	category	name	summary
https://www.comune.catania.it/	site-section	Comune di Catania	Nel corso dell’incontro il sindaco Trantino e l’assessora Lombardo hanno illustrato alla delegazione di Ascoli Piceno le numerose iniziative promosse a favore dello sviluppo delle politiche giovanili&hellip;
https://www.comune.catania.it/amministrazione/	site-section	Amministrazione	Tutte le informazioni sulla struttura amministrativa del Comune. Scopri gli organi politici, gli uffici e il personale e consulta i documenti pubblici, le statistiche e i bandi di gara.
https://www.comune.catania.it/novita/	site-section	Novità	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/servizi/	site-section	Servizi	Tutti i servizi comunali per i cittadini, disponibili online o a sportello, per richiedere documenti e permessi, iscriversi a graduatorie ed effettuare pagamenti.
https://www.comune.catania.it/vivere-il-comune/	site-section	Vivere il Comune	Vivere il Comune
https://www.comune.catania.it/argomenti.aspx	site-section	Argomenti	Gli argomenti rispondono a un'esigenza di organizzazione dei contenuti del sito istituzionale per temi e rappresentano le principali categorie di contenuti, informazioni e documenti specifici.
https://www.comune.catania.it/amministrazione/documenti-e-dati/	site-section	Documenti e dati	Bandi di concorso, avvisi, graduatorie, statistiche e documenti pubblici.
https://www.comune.catania.it/argomento.aspx?argument=Turismo	site-section	Turismo	Servizi comunali, documenti, uffici, notizie ed eventi relativi a Turismo
https://www.comune.catania.it/novita/comunicati/default.aspx	site-section	Comunicati	Le comunicazioni ufficiali del Sindaco, degli organi politici e degli uffici comunali.
https://www.comune.catania.it/novita/notizie/default.aspx	site-section	Notizie	Le notizie, i comunicati e gli avvisi per restare aggiornati sulle ultime novità, opportunità e cosa succede nel territorio comunale.
https://www.comune.catania.it/novita/avvisi/default.aspx	site-section	Avvisi	Bandi di gara, comunicazioni importanti alla cittadinanza, avvisi di concorso e tutte le opportunità per cittadini e imprese.
https://www.comune.catania.it/amministrazione/organi-di-governo/default.aspx?unitaorganizzativa=30	site-section	Giunta comunale	La giunta è l'organo del governo comunale
https://www.comune.catania.it/amministrazione/organi-di-governo/default.aspx?unitaorganizzativa=31	site-section	Consiglio comunale	Il Consiglio comunale è l'organo di indirizzo e di controllo politico-amministrativo del comune
https://www.comune.catania.it/amministrazione/organi-di-governo/default.aspx?unitaorganizzativa=1068	site-section	Consiglio circoscrizionale	Il Consiglio circoscrizionale è un'assemblea pubblica rappresentativa delle zone in cui è divisa una città, e costituisce l'articolazione decentrata dell'amministrazione di un comune
https://www.comune.catania.it/altri-contenuti/elezioni/	site-section	Elezioni	Pagina dedicata ai risultati ufficiali di referendum ed elezioni: europee, comunali, regionali e politiche
